artist,patternId,previewImage,palette,rating
miice,465753,http://static.colourlovers.com/images/patterns/465/465753.png,ECD078 D95B43 C02942 542437 53777A ,1.8155775777833316
miice,707090,http://static.colourlovers.com/images/patterns/707/707090.png,DCE8EB ECF1F2 F7F9FE CBDBE0 BED2D9 ,1.846446759800028
miice,636382,http://static.colourlovers.com/images/patterns/636/636382.png,F0E7C0 C44545 2D383B CCC5A3 993939 ,2.0307041808266817
miice,641132,http://static.colourlovers.com/images/patterns/641/641132.png,C0A878 FFDEB6 F04F4F F0A890 483018 ,2.153516464514217
miice,584317,http://static.colourlovers.com/images/patterns/584/584317.png,262127 FFF1CE F6B398 63988E B4B08D ,2.2387679481241314
miice,738589,http://static.colourlovers.com/images/patterns/738/738589.png,F5D3B0 FA2F87 C42618 E61259 9E0530 ,2.580066722268557
miice,465777,http://static.colourlovers.com/images/patterns/465/465777.png,CFF09E A8DBA8 79BD9A 3B8686 0B486B ,2.608388584606515
miice,621471,http://static.colourlovers.com/images/patterns/621/621471.png,A3AC7D ED7D7C F1DAA8 D4C687 F2C778 ,2.010931593094625
miice,757206,http://static.colourlovers.com/images/patterns/757/757206.png,2B3400 546600 749900 9BCC02 C0E609 ,1.8329262755781004
miice,764015,http://static.colourlovers.com/images/patterns/764/764015.png,ECD078 D95B43 C02942 542437 53777A ,1.902101504017581
miice,562122,http://static.colourlovers.com/images/patterns/562/562122.png,4F364A A3C68C 879676 6E6662 340735 ,2.6203113113698873
miice,563737,http://static.colourlovers.com/images/patterns/563/563737.png,952D2C 5492A7 000100 D0AB74 366B73 ,2.784045323386586
miice,728687,http://static.colourlovers.com/images/patterns/728/728687.png,CDDDC2 DC4206 FD8D03 25C29B 430700 ,2.0208003259245846
miice,478529,http://static.colourlovers.com/images/patterns/478/478529.png,BAA95E A69948 0F4E19 C73639 570709 ,1.9705098704129829
miice,534060,http://static.colourlovers.com/images/patterns/534/534060.png,AFCAE0 EFF5C4 CBA299 8D9687 7B6072 ,2.5196711234055633
miice,760602,http://static.colourlovers.com/images/patterns/760/760602.png,1E1E44 8C004E C4574E FA8952 E0CFA7 ,2.040233897713388
miice,465792,http://static.colourlovers.com/images/patterns/465/465792.png,E6EBA9 ABBB9F 6F8B94 706482 703D6F ,2.0975529823028185
miice,465807,http://static.colourlovers.com/images/patterns/465/465807.png,300018 5A3D31 837B47 ADB85F E5EDB8 ,1.9360382539532242
miice,648503,http://static.colourlovers.com/images/patterns/648/648503.png,5A6B9E 808BA5 CBCAB4 A5AAAD F0E9BB ,1.8774195153505497
miice,2698084,http://static.colourlovers.com/images/patterns/2698/2698084.png,ECD078 D95B43 C02942 542437 53777A ,2.107878650667874
miice,765624,http://static.colourlovers.com/images/patterns/765/765624.png,ECD078 D95B43 C02942 542437 53777A ,2.1521739130434785
miice,4258349,http://static.colourlovers.com/images/patterns/4258/4258349.png,786E68 F5F2D8 D58708 D1CC91 94B29D ,2.1438912877825755
miice,577261,http://static.colourlovers.com/images/patterns/577/577261.png,8C6344 E0B654 F7634E D9CC92 ABB380 ,1.9313564726245789
